bbl,address,borough,unitsres,rs_units,yearbuilt,bldgclass,wow_link
1022430220,65 PARK TERRACE EAST,MN,78,0,1939,D4,https://whoownswhat.justfix.org/bbl/1022430220
1005690001,43 5 AVENUE,MN,42,0,1905,D4,https://whoownswhat.justfix.org/bbl/1005690001
1020110052,134 WEST 143 STREET,MN,20,0,1915,C1,https://whoownswhat.justfix.org/bbl/1020110052
4161880017,179 BEACH 115 STREET,QN,15,0,1929,C5,https://whoownswhat.justfix.org/bbl/4161880017
1012060029,322 CENTRAL PARK WEST,MN,49,0,1926,D4,https://whoownswhat.justfix.org/bbl/1012060029
1011440040,118 WEST 73 STREET,MN,13,0,1885,C5,https://whoownswhat.justfix.org/bbl/1011440040
4162160015,241 BEACH 120 STREET,QN,11,0,1929,C5,https://whoownswhat.justfix.org/bbl/4162160015
3044690017,2791 LINDEN BOULEVARD,BK,48,0,1964,C1,https://whoownswhat.justfix.org/bbl/3044690017
2033960001,501 EAST 234 STREET,BX,42,0,1928,C1,https://whoownswhat.justfix.org/bbl/2033960001
4005430025,21-26 NEWTOWN AVENUE,QN,14,0,1908,C1,https://whoownswhat.justfix.org/bbl/4005430025
1008060076,371 7 AVENUE,MN,529,0,1929,H1,https://whoownswhat.justfix.org/bbl/1008060076
1014950049,1115 MADISON AVENUE,MN,57,0,1963,D4,https://whoownswhat.justfix.org/bbl/1014950049
3074490025,3021 AVENUE Z,BK,66,0,1956,D4,https://whoownswhat.justfix.org/bbl/3074490025
1016430001,101 EAST 115 STREET,MN,20,0,1920,D7,https://whoownswhat.justfix.org/bbl/1016430001
1004070006,220 AVENUE A,MN,16,0,1900,C4,https://whoownswhat.justfix.org/bbl/1004070006
3072730050,2940 WEST 5 STREET,BK,572,0,1964,D4,https://whoownswhat.justfix.org/bbl/3072730050
1006380019,720 WEST 11 STREET,MN,100,0,1939,C6,https://whoownswhat.justfix.org/bbl/1006380019
1015100060,122 EAST 82 STREET,MN,36,0,1912,D4,https://whoownswhat.justfix.org/bbl/1015100060
1013980060,826 LEXINGTON AVENUE,MN,65,0,1928,D4,https://whoownswhat.justfix.org/bbl/1013980060
3046580001,229 EAST 52 STREET,BK,16,0,1928,C1,https://whoownswhat.justfix.org/bbl/3046580001
1018830048,522 WEST 112 STREET,MN,24,0,1907,C1,https://whoownswhat.justfix.org/bbl/1018830048
3054530018,1528 49 STREET,BK,57,0,1939,D4,https://whoownswhat.justfix.org/bbl/3054530018
3031360005,889 BROADWAY,BK,36,0,1931,C7,https://whoownswhat.justfix.org/bbl/3031360005
1009050047,220 EAST 25 STREET,MN,24,0,1920,D3,https://whoownswhat.justfix.org/bbl/1009050047
1004180048,105 ELDRIDGE STREET,MN,18,0,1900,C7,https://whoownswhat.justfix.org/bbl/1004180048
1018850047,526 WEST 114 STREET,MN,15,0,1920,C5,https://whoownswhat.justfix.org/bbl/1018850047
1008580014,80 MADISON AVENUE,MN,56,0,1923,D6,https://whoownswhat.justfix.org/bbl/1008580014
3053580091,265 OCEAN PARKWAY,BK,15,0,2008,D6,https://whoownswhat.justfix.org/bbl/3053580091
4161730028,100-03 ROCKAWAY BEACH BLVD,QN,16,0,1929,C9,https://whoownswhat.justfix.org/bbl/4161730028
1016220053,1775 MADISON AVENUE,MN,18,0,1910,C6,https://whoownswhat.justfix.org/bbl/1016220053
1021790170,116 PINEHURST AVENUE,MN,353,0,1925,D4,https://whoownswhat.justfix.org/bbl/1021790170
2031180056,2078 CROTONA PARKWAY,BX,21,0,1925,D1,https://whoownswhat.justfix.org/bbl/2031180056
1012470057,137 RIVERSIDE DRIVE,MN,61,0,1907,D4,https://whoownswhat.justfix.org/bbl/1012470057
1009090031,513 2 AVENUE,MN,12,0,1940,C7,https://whoownswhat.justfix.org/bbl/1009090031
1019660044,453 WEST 125 STREET,MN,27,0,1901,C7,https://whoownswhat.justfix.org/bbl/1019660044
2032500121,2876 CLAFLIN AVENUE,BX,95,0,1928,D1,https://whoownswhat.justfix.org/bbl/2032500121
1001790056,100 HUDSON STREET,MN,44,0,1910,D4,https://whoownswhat.justfix.org/bbl/1001790056
1020530086,327 EDGECOMBE AVENUE,MN,25,0,1906,C6,https://whoownswhat.justfix.org/bbl/1020530086
2028910057,311 EAST 175 STREET,BX,70,0,1994,I6,https://whoownswhat.justfix.org/bbl/2028910057
